Michael Card,Will You Not Listen?
Fall Out Boy,Champagne For My Real Friends_ Real Pain For My Sham Friends
Ben Folds Five,Don't Change Your Plans
Jack Johnson,Sleep Through The Static
Days Of The New,Shelf In The Room
Ben E. King,Stand By Me (Single/LP Version)
Christina Aguilera,Don't Make Me Love You
The Black Keys,Elevator
Frankie Avalon,A Boy Without A Girl
Strangelove,Spiders And Flies
Chanté Moore,Straight Up
Jules Shear,The Once Lost Returns
A Day To Remember,If It Means A Lot To You
The Cardigans,Been It
James Blunt,Goodbye My Lover
Daniel Bedingfield,James Dean (I Wanna Know)
Jan & Dean,Surf City
Godsmack,Releasing The Demons
Ryan Adams,Strawberry Wine
Marcus Miller,Higher Ground
Mike And The Mechanics,Taken In
DJ Dizzy,Sexy Bitch
Clannad;Anto Drennan;Ian Melrose,A Mhuirnin O
Twin Atlantic,Human After All
That Petrol Emotion,Gnaw Mark
Stars,My Favourite Book
Die Sekte,Mittelfinga ab feat. Sido_ MOK_ B-Tight_ Bendt
CKY,Behind The Screams
Jack Johnson,Staple It Together
Hot Chip,Keep Fallin
Raúl Midón,Waited All My Life
The Maine,Santa Stole My Girlfriend
Charlie Brown Jr.,Buscando Um Novo Rumo (Instrumental)
Lady GaGa,Again Again
DevilDriver,Nothing's Wrong? (Album Version)
Tarkan,I'm Gonna Make U Feel Good
Nickelback,Good Times Gone (Album Version)
Chad & Jeremy,A Summer Song
Trentemøller,Miss You
Lil Wayne,Ain't That A Bitch
Calle 13 Featuring pg-13,Algo Con-Sentido
Letters To Cleo,Big Star (Album Version)
Blink-182,Untitled
Cat Stevens,Lady D'Arbanville
The Whitest Boy Alive,Golden Cage
Lucero,Nights Like These
Saliva,Click Click Boom
Gregory Isaacs,Fatal Attraction
Lordi,Devil Is A Loser
Andrew Bird,Beware (Album Version)
Julianne Hough,That Song In My Head
Rise Against,Last Chance Blueprint
Donald Fagen,New Frontier (Album Version)
Memory Cassette,Asleep At A Party
Black Light Burns,Lie
Scred Connexion,Renverser La Vapeur
Demon Hunter,The Science Of Lies
Catupecu Machu,Origen Extremo
Kaskade,Sorry
Delain,The Gathering (Album Version)
The Kooks,Love It All
The Classic Crime,Say The Word
Des'ree,Life
Trivium,And Sadness Will Sear (Album Version)
Fonseca,Confiesame
David Meece,His Love Was Reaching (Album)
Edward Sharpe & The Magnetic Zeros,Carries On
Local Natives,Sun Hands
Rata Blanca,Mujer Amante
Akon / Sweet Rush,Troublemaker
The Radio Dept.,It's Been Eight Years
Ashley Parker Angel,Where Did You Go
Danny Elfman,Mein Herring
Orbital,The Sinner
Eric Roberson,The Baby Song
Francisca Valenzuela,Afortunada
Fall Out Boy,Dead On Arrival (Album Version)
Il Divo,Hoy Que Ya No Estas Aqui
Muse,Starlight
Magtens Korridorer,Nordhavn Station
Little People,Last Fare
The Rutles,Rut-A-Lot
Carnal Forge,Decades Of Despair
Aly & AJ,Bullseye
sin with sebastian,Shut up (and sleep with me)
BarlowGirl,Enough - Album Version
Skindred,Nobody (Album Version)
Thrice,The Melting Point Of Wax
Tree63,Look What You've Done (Live)
Tenth Avenue North,Break Me Down
Cage The Elephant,Soil To The Sun
Vince Guaraldi Trio,Christmas Time Is Here
Comeback Kid,Talk Is Cheap (Album Version)
Tex Williams,Downtown Poker Club
Kim Carnes,Bette Davis Eyes
Lucybell,Cuando Respiro En Tu Boca
Department of Eagles,No One Does It Like You
Lupe Fiasco feat. Nikki Jean,Hip-Hop Saved My Life (feat. Nikki Jean) (Explicit Album Version)
Stone Temple Pilots,Transmissions From A Lonely Room (LP Version)
Calvin Harris,You Used To Hold Me
Glen Hansard & Marketa Irglova,When Your Mind's Made Up (Album version)
Carla Bruni,Le Plus Beau Du Quartier
Diamanda Galas,Baby's Insane
Blink-182,Going Away To College
Chromeo,Woman Friend
Marilyn Manson,I Put A Spell On You
The Apples In Stereo,Energy
Fall Out Boy,w.a.m.s.
Sheila Walsh,Going Home (For A Time Like This Album Version)
Huey Lewis And The News,Workin For A Livin
DAVE MATTHEWS BAND,JTR
Violadores del Verso,Filosofia y letras
Grant McLennan,Ill Call You Wild
Coldplay,Daylight
Julieta Venegas A Dueto Con Dante,Primer Dia
Bob Marley & The Wailers,Trouble Dub - FAMS Mix
Zero 7,Everything Up [Zizou]
Ikara Colt,One Note
Crotchduster,Crotchopus
Okkervil River,The War Criminal Rises and Speaks
Aerosmith,Last Child
Streetlight Manifesto,We Are The Few (Album Version)
Edward Sharpe & The Magnetic Zeros,Om Nashi Me
Enya,Willows On The Water
Jimi Hendrix,Jam 292
Puddle Of Mudd,Psycho
Gorillaz,Demon Days
moe.,Nebraska
Stretch Arm Strong,Get This Party Started
Ferraby Lionheart,Un Ballo Della Luna
Kings Of Leon,Fans
Senses Fail,Ali For Cody
Aceyalone,Anywhere You Go
The Format,I'm Ready_ I Am (Album Version)
South Park,Kyle's Mom's A Bitch (LP Version)
The Ataris,The Boys Of Summer
Manhattan Transfer,Sugar (That Sugar Baby O'Mine)
Mercy Drive,Burn In My Light
There For Tomorrow,Pages
Fall Out Boy,Sugar_ We're Goin Down
Crystal Castles,Violent Dreams
Hoobastank,Born To Lead
Rufus Wainwright,The Maker Makes
N.W.A.,Compton's N The House (Remix) (2002 Digital Remaster) ()
Ladytron,Discotraxx
ZZ Top,Tush
Bone Thugs-N-Harmony,Rebirth (Explicit Album Version)
Margaret Becker,Steps Of Faith
Whitechapel,Death Becomes Him
Essential Logic,Wake Up
Laura Marling,Tap At My Window
Lil Scrappy,Lord Have Mercy (Amended Version)
Hoobastank,Hello Again
John Frusciante,Fallout (Album Version)
Florence + The Machine,Bird Song
Henry Mancini & His Orchestra,Banzai Pipeline
Kanye West,Roses
Ursula 1000,Electrik Boogie
New Found Glory,Hold My Hand
The Clientele,Bicycles
Sade,No Ordinary Love
Essential Logic,Albert
The Communards,Never Can Say Goodbye
Uffie,Pop The Glock
Vinicio Capossela,Che Cosse' L'amor
Sebastien Schuller,Awakening
Eric B. & Rakim,As The Rhyme Goes On
Yellowcard,Lights And Sounds
Demi Lovato,Trainwreck
Starsplash,Hardstyle
Rupa & the April Fishes,Plus que moi
Absolute Beginner,Liebes Lied
Incubus,Love Hurts
Alex Gopher,The Game
Rancid,Salvation (Album Version)
Brotha Lynch Hung,Q-Ball
As I Lay Dying,Beyond Our Suffering
Carly Simon,I Get Along Without You Very Well
Jolie Holland,Fox In Its Hole
The Black Keys,Busted
Bear In Heaven,Fake Out
My Bloody Valentine,Loomer
Parliament,Flash Light
Neutral Milk Hotel,In The Aeroplane Over The Sea
Jonny Lang,Walking Away
Jimmy Nail,Crocodile Shoes
Orishas,Hay Un Son
Hawthorne Heights,Somewhere In Between
The All-American Rejects,Move Along
Daryle Singletary,The Note (Album Version)
Angels and Airwaves,Secret Crowds
La Frontera,Cielo del sur
The Beta Band,Gone
Demon Hunter,Broken Upper Hand_ A (Demon Hunter Album Version)
Nirvana,Heart Shaped Box
Spook And The Guay,Ma Radio
Morrissey,Let Me Kiss You
Talk Talk,Life's What You Make It
The Killers,Romeo And Juliet
Yeasayer,O.N.E
Elastica,Stutter
John Mayer,Love Song For No One
Gale Garnett,We'll Sing In The Sunshine
Revolting Cocks,You Often Forget (malignant) (12" Version) (Album Version)
Panic At The Disco,Behind The Sea [Live In Chicago]
Alain Clark,Rain Will Fall (Album)
Opeth,In My Time Of Need
The Manhattans,Kiss And Say Goodbye
Peter Cetera,Wake Up To Love
Mötley Crüe,Same Ol' Situation (S.O.S.)
Haiku D'Etat,Top Qualified
Dropkick Murphys,The Warrior's Code
Damian Marley / Stephen Marley / Yami Bolo,Still Searching
La Roux,Fascination
Shiny Toy Guns,Major Tom (Coming Home)
Alicia Keys,Un-thinkable (I'm Ready)
Hello Saferide,Nothing Like You (When You're Gone)
Sixx A.M.,Heart Failure (Explicit)
Yellowcard,Believe
zebrahead,Hell yeah!
Severed Savior,Servile Insurrection
Gino Soccio,Dream On (LP Version)
Within Temptation,The Howling
Casting Crowns,Praise You In This Storm (Medium w/o background vocals)
The Rocket Summer,Walls
The Donnas,Take It Off (Album Version)
Joy Division,New Dawn Fades
M.I.A.,Paper Planes
The Mars Volta,With Twilight as My Guide
Vinylshakerz,Daddy Cool
The Spill Canvas,The Night Will Go As Follows  (LP Version)
The Clash,All The Young Punks (New Boots And Contracts)
Andrew Bird,Oh No
Jurassic 5 / Dave Matthews Band,Work It Out
The Strokes,Between Love & Hate
MC Hammer,U Can't Touch This
Hawthorne Heights,Language Lessons [Five Words Or Less] (Instrumental Version)
Fabian Corrales,Te Quiero Y Te Pienso
Evanescence,My Immortal (Album Version)
Timbaland / Katy Perry,If We Ever Meet Again
Justin Timberlake,Like I Love You
Mötley Crüe,Smokin' In The Boys Room
Cajjmere Wray,Naughty Girls (Feat. Monika) (Etienne Ozborne Remix)
Immortal Technique,Mistakes
The Impressions,Fool For You (Album Version)
Metallica,Fight Fire With Fire
Bebel Gilberto,River Song
Tech N9ne,Intro
Calle 13 Featuring Orishas,Pa'l Norte
Selena Gomez & The Scene,I Promise You
William Fitzsimmons,After Afterall
They Might Be Giants,Snail Shell (Album Version)
Blank + Jones,Where You Belong (With Bobo)
Chris Brown featuring will.i.am,Picture Perfect
Kanye West,Family Business
Justin Timberlake,Cry Me A River
Enya,Athair Ar Neamh
Simple Plan,The End (Album Version)
Mind.In.A.Box,Change
Mariah Carey,Always Be My Baby
Alexandre Desplat,Jimmy Squirrel and Co.
Axwell Featuring Steve Edwards,Watch The Sunrise (Axwell Re-Mode)
The Pussycat Dolls / Missy Elliott,Whatcha Think About That
The Clovers,Don't Play That Song (You Lied)
Booka Shade,Outskirts
Aimee Mann,The Fall of the World's Own Optimist
Darkest Hour,Sound The Surrender (Album Version)
Marcy Playground,Bye Bye
Pretty Girls Make Graves,The Getaway
Stardeath And White Dwarfs,Time/Breathe [Reprise] (Album Version)
Death Cab for Cutie,Photobooth (Rolling Stone Original)
Camera Obscura,James
Stephen Marley / Mos Def,Hey Baby
Jimmy Eat World,Blister
Talk Talk,Such A Shame
Muse,Space Dementia
Hoobastank,I Don't Think I Love You (Album Version)
Heidi Montag,One More Drink
Billy Currington,Walk A Little Straighter
Rokia Traoré,Tounka
Ron Van Den Beuken,Timeless
Third Day,Nothing Compares
Mat Kearney,Closer To Love
Evanescence,My Immortal
Justin Timberlake duet with Beyonce,Until The End Of Time
Natiruts,Bob Falou
The Spill Canvas,Self-Conclusion (Album Version)
Justin Timberlake duet with Beyonce,Until The End Of Time
LeAnn Rimes,Can't Fight The Moonlight (Theme From 'Coyote Ugly')
Vienio & Pele,Automotywacja
Nevermore,C.b.f.
Bloodhound Gang,Foxtrot Uniform Charlie Kilo
Kyoto Jazz Massive,Mind Expansions feat. Maiya James
The Academy Is...,Same Blood
Eddie Vedder,Guaranteed
Olli Schulz Und Der Hund Marie,In Jede Richtung
Hawk Nelson,Let's Dance
Peter Cetera,Wild Ways (Album Version)
Vinylshakerz,Club Tropicana
Tommy James And The Shondells,Mony Mony
Poe,Terrible Thought
Dierks Bentley,I Wanna Make You Close Your Eyes
The All-American Rejects,My Paper Heart
Didier Lockwood,Precious Joy
The Album Leaf,Streamside
Maire Ni Bhroanain,Gaoth Barra Na dTonn
Beirut,Nantes
Air,All I Need
Jonas Brothers,S.O.S.
Apollo 440,Suitcase '88
Suzanne Ciani,Full Moon Sonata
Tenth Avenue North,You Are
Carpenters,Jambalaya (On The Bayou)
Rise Against,Great Awakening
Arctic Monkeys,Crying Lightning
Dzem,Koszmar Noc (2003 Digital Remaster)
The Beach Boys,Whistle In (24-Bit Remastered 01) (2001 Digital Remaster)
The Motors,Today
Phil Lynott,King's Call
G-Unit,T.O.S.
Little River Band,Forever Blue
Tommy Guerrero,Flux And Meter
Appliance,Fruits Of The Sea
Injected,I- IV- V
Jake Hess,You And Me Jesus
Lange,Wind Farm
Rafet El Roman,Yüregimle Seviyorum
Wyclef Jean featuring Melky,MVP Kompa
Saxon,Fire In The Sky (Live At The Hammersmith Odeon 25/10/81) (2009 Digital Remaster)
Coldplay,Talk (Junkie XL Remix)
Staind,Devil (Album Version)
Delinquent Habits,Return of the Tres
Underoath,I'm Content With Losing
King Curtis,The Christmas Song  (LP Version)
Hannah Montana,Rock Star
Infected Mushroom,Deeply Disturbed
Orishas,El Kilo
Gotan Project,Época
Van Halen,Sinner's Swing! (Album Version)
Bread,Guitar Man (LP Version)
India.Arie,Ready For Love
Steve Angello & AN21,Valodja
Linda Ronstadt,Am I Blue (LP Version)
Battles,Ddiamondd
Téléphone,In Paris
Taylor Swift,Tim McGraw
Michael Franks,Antonio's Song (The Rainbow) (Album Version)
Neaera,In Near Ruins
The New Birth,It's Impossible
Ladytron,Weekend (James Iha Mix)
Evanescence,Hello
The Who,Magic Bus
Avril Lavigne,Alice
The Airborne Toxic Event,Does This Mean You're Moving On?
Sparks The Rescue,Pine Tree State
Joe Vasconcellos,Hijo Del Sol Luminoso (vivo)
Minus 8,Snowblind
The Cops,Light It Off (Album Version)
Céline Dion,The Power Of Love
The Lively Ones,Surf Beat (LP Version)
Crowded House,Don't Dream It's Over
Gwen Stefani,Wind It Up
The Acacia Strain,Brown Noise
The Pain Machinery,Zero
Weeping Tile,I Repeat
Suzy Thompson,Kennedy Rag
Jazzamor,space cowboy
Jarabe De Palo,Mucho más_ mucho mejor
Hootie And The Blowfish,Old Man & Me (LP Version)
Sufjan Stevens,Amazing Grace
The White Stripes,Jolene [Live]
Jag Panzer,Reign Of The Tyrants
Sting,A Thousand Years
Bring Me The Horizon,A Lot Like Vegas
Buckcherry,Crazy Bitch (Album Version)
Devon Russell,Jah Hold The Key
Black Eyed Peas,Hey Mama
The Boxmasters,Heartbreakin' Wreck
Social Distortion,Footprints On My Ceiling (Album)
Poncho K,Pistolas
Sylver,Love Is An Angel
Rihanna,We Ride
James Taylor,That's Why I'm Here
Dropkick Murphys,Which Side Are You On?n (Album Version)
Alex Gopher,Carmilla
Captain Sensible,Wot
Modest Mouse,Ocean Breathes Salty
Simon Harris,Sample Track 2
Flyleaf,Arise
Ryan Leslie / Cassie / Fabolous,Addiction
Enya,How Can I Keep From Singing?
Glen Hansard & Marketa Irglova,Falling Slowly (Album version)
Daddy Yankee,Cuentame
Mark Knopfler / Emmylou Harris,Red Staggerwing
Staind,It's Been Awhile (Clean Edit)
Afghan Whigs,I'm Her Slave (Album)
Third Eye Blind,Palm Reader
The Trews,End Of The Line
Cute Is What We Aim For,I Put the 'Metro' in Metronome (Album Version)
Julieta Venegas,Andar Conmigo
Depeche Mode,It's No Good (Single Version)
Mayday Parade,When I Get Home You're So Dead (New Version) (Album)
Diamond Rio,You're Gone
Lisa Gerrard,Serinity
Chicharones,Little by Little
Mylène Farmer,Porno Graphique
Muse,Pink Ego Box
Linkin Park,Runaway (Album Version)
UB40,Bring Me Your Cup
Lupe Fiasco,Gotta Eat (Explicit Album Version)
Tokyo Police Club,The Harrowing Adventures Of...
Stone Temple Pilots,Plush (Acoustic)
White Town,Your Woman
Secondhand Serenade,Broken
Celtic Woman,Harry's Game
Mr. Scruff feat. Alice Russell,Music Takes Me Up
Ashley Tisdale,He Said She Said (Album Version)
Django Reinhardt,It Don't Mean a Thing
Kevin Ayers,It Begins With A Blessing/Once I Awakened/But It Ends With A Curse (2008 Digital Remaster)
Static-X,The Trance Is The Motion [Live]
Jesus Cifuentes,Sangre Dañina
Enya,Paint The Sky With Stars
Caribou (formerly Dan Snaith's Manitoba),Victor And Carolyn
Miley Cyrus,Party In The U.S.A.
Radiohead,Sulk
G-Unit / Young Buck,I Like The Way She Do It
Mylo,Sunworshipper
+44,155
The Morning Benders,Promises
Selena Gomez & The Scene,Kiss & Tell
Thalia,Amar Sin Ser Amada
R.E.M.,Perfect Circle
Panic! At The Disco,Nine In the Afternoon
Voodoo & Serano,Blood Is Pumping
Fall Out Boy,G.I.N.A.S.F.S.
Everything But The Girl,Me And Bobby D
Scissor Sisters,I Don't Feel Like Dancin'
Diomedes Diaz;Juancho Rois,Las Notas De Juancho
TO/DIE/FOR,Immortal Love
Fall Out Boy,I've Got All This Ringing In My Ears And None On My Fingers
Ramones,I Wanna Be Sedated (Remastered Album Version )
Live,Stage
New Found Glory,Sonny
Smokey Robinson,Cruisin'
Olé Olé,Con sólo una mirada
THERION,Opus Eclipse
Mary Black,Róisín
Coal Chamber,Loco (Album Version)
Amar Azul,Yo me enamore
Pepper,Dry Spell (LP Version)
Ripchord,Back Of The Van
Brad Paisley,She's Everything
Jack Johnson / Matt Costa / Zach Gill / Dan Lebowitz / Steve Adams,Let It Be Sung
Peter Cetera,Dip Your Wings (Album Version)
Fol Chen Featuring Patrik-Ian,The Idiot
Younger Brother,Happy Pills
Ween,She's Your Baby (LP Version)
Balkan Beat Box,Meboli
Mike Posner,Cooler Than Me
Steely Dan,Reelin' In The Years
The Libertines,I Get Along
Juelz Santana / Jimmy Jones,This Is For My Homies
Apocalyptica,One
Blockhead,Jet Son
Clarika,Les Garçons Dans Les Vestiaires
Heartless Bastards,The Mountain
Sanctus Real,The Way The World Turns
The Trashmen,Surfin' Bird
Demi Lovato,Got Dynamite
J. Tillman,James Blues
Marc Almond,Real Evil
Inhale Exhale,Rose Among the Ashes
Big & Rich,Real World (Album Version)
P. Diddy,Last Night Featuring Keyshia Cole (Amended Album Version)
Kings Of Convenience,Toxic Girl
Zach Gill / Jack Johnson,Family
Metallica,Battery
John Stevens,This Love (Album Version)
El Chaval De La Peca,Soy Minero
Freeform Five,No More Conversations
Hot Hot Heat,Goodnight Goodnight (Album Version)
Urban Chill Out,Sous le soleil
Saru,Bamboo Shadow
Binary Star,Fellowship
Gonzalo Rubalcaba,Smooch
Portishead,Over
Fugees,Fu-Gee-La
Platero Y Tu,Imanol
At The Drive-In,Skips on The Record
Paramore,Ignorance (Album Version)
Koop,Koop Island Blues
Goldfinger,San Simeon
M83,Tsubasa
Silversun Pickups,Three Seed
Mark Dinning,Teen Angel
Alicia Keys featuring John Mayer,Lesson Learned
Demon Hunter,Follow The Wolves
Emilie Simon,Il Pleut
zebrahead,Big Shot
The Police,Driven To Tears
Edison Glass,Let Go
Roxy Music,Love Is The Drug (Live) (1999 Digital Remaster)
Tim Surrett,Try A Little Kindness
Darius Rucker,It Won't Be Like This For Long
Jonas Steur,Sonrisa
Monifah,Touch It
Coldplay,Life In Technicolor
The Black Keys,Work Me
Viki Mosholiou,Milo Gia Ta Pedia Mou (2006 Digital Remaster)
Spoon,Black Like Me
Iron & Wine,Jezebel
Flogging Molly,Tobacco Island
Incubus,Just A Phase
Skids,Charade
Jane Birkin - Paolo Conte,Chiamami Adesso
Joan As Police Woman,Start Of My Heart
Yeah Yeah Yeahs,Runaway
Airiel,500 Deep
Brazilian Girls,Corner Store
Escape The Fate,Friends And Alibis
Butthole Surfers,Pepper
Kanye West,Bad News
Boston,Foreplay/Long Time
Laura Marling,Your Only Doll (Dora)
Mary Black,Gabriel
David Gray,Babylon
Sara Groves,Less Like Scars
Duran Duran,Last Chance On The Stairway (Manchester Square Demo)
Julieta Venegas,Dulce Compañia
Jacques Higelin,Chambre Sous Les Toits
Les Négresses Vertes,Hey Maria
The Disco Boys,B-B-B-Baby
Peter White,Promenade (Jazz)
Kelly Clarkson,You Found Me
Tavares,More Than A Woman
Fresh Moods,Rhythmbreeze
Area,Ici On Dance!
Theory Of A Deadman,Make Up Your Mind
The Sword,Ebethron
The All-American Rejects,Dirty Little Secret
New Found Glory,Kiss Me
Coldplay,Swallowed In The Sea
The Skyliners,Since I Don't Have You
The Budos Band,Scorpion
Mazzy Star,Wasted
Jill Scott,Honey Molasses
Rise Against,Life Less Frightening
Slim Dusty,Yellow Gully
Bratz,Bratitude
Copeland,Coffee
DJ Koze,Barock Am Ring
Ambulance Ltd,Michigan
Yuksek / The Bewitched Hands On The Top Of Our Heads,So Far Away From The Sea
PUNGENT STENCH,Fuck Bizarre
Air France,Windmill Wedding
Muse,Spiral Static
Coldplay,What If
Joe Cocker & Jennifer Warnes,Up Where We Belong
Fettes Brot,Emanuela
Thomas Newman,American Beauty
Extrawelt,Soopertrack
Alesana,Alchemy Sounded Good At the Time
Jill Barber,Hard Line
Collie Buddz,..Come Around
KC And The Sunshine Band,Get Down Tonight (Miami Mix)
João Gilberto,Ave Maria No Morro
Eric Benet,Love Of My Own (Album Version)
Simple Minds,Glittering Prize
Maximo Park,Signal And Sign
Sheena Easton,Telefone (Long Distance Love Affair) (1993 Digital Remaster)
Forever In Terror,Destroy Us
Descendents,All
Francis Magalona,Cold Summer Nights
Amy Winehouse,Love Is A Losing Game
Röyksopp,Poor Leno
The Strokes,Hard To Explain
Mediengruppe Telekommander,Mein Herz (Live)
Cascada,Can't Stop The Rain
Bombay Bicycle Club,Dust On The Ground
Boss AC,Boa Vibe
the bird and the bee,Again & Again
Kitaro,Message From The Cosmos
Betty Lavette,Let Me Down Easy
Combichrist,enjoy the abuse
Oi Va Voi,I Know What You Are
Ivoryline,Days End
Tom Waits,You Can Never Hold Back Spring
